street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,date
3526 HIGH ST,SACRAMENTO,095838,CA,2,1,836,Residential,Wed May 21 00:00:00 EDT 2008,59222,38.631913,-121.434879,Wed
51 OMAHA CT,SACRAMENTO,095823,CA,3,1,1167,Residential,Wed May 21 00:00:00 EDT 2008,68212,38.478902,-121.431028,Wed
2796 BRANCH ST,SACRAMENTO,095815,CA,2,1,796,Residential,Wed May 21 00:00:00 EDT 2008,68880,38.618305,-121.443839,Wed
2805 JANETTE WAY,SACRAMENTO,095815,CA,2,1,852,Residential,Wed May 21 00:00:00 EDT 2008,69307,38.616835,-121.439146,Wed
6001 MCMAHON DR,SACRAMENTO,095824,CA,2,1,797,Residential,Wed May 21 00:00:00 EDT 2008,81900,38.51947,-121.435768,Wed
5828 PEPPERMILL CT,SACRAMENTO,095841,CA,3,1,1122,Condo,Wed May 21 00:00:00 EDT 2008,89921,38.662595,-121.327813,Wed
6048 OGDEN NASH WAY,SACRAMENTO,095842,CA,3,2,1104,Residential,Wed May 21 00:00:00 EDT 2008,90895,38.681659,-121.351705,Wed
2561 19TH AVE,SACRAMENTO,095820,CA,3,1,1177,Residential,Wed May 21 00:00:00 EDT 2008,91002,38.535092,-121.481367,Wed
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,095670,CA,2,2,941,Condo,Wed May 21 00:00:00 EDT 2008,94905,38.621188,-121.270555,Wed
7325 10TH ST,RIO LINDA,095673,CA,3,2,1146,Residential,Wed May 21 00:00:00 EDT 2008,98937,38.700909,-121.442979,Wed
645 MORRISON AVE,SACRAMENTO,095838,CA,3,2,909,Residential,Wed May 21 00:00:00 EDT 2008,100309,38.637663,-121.45152,Wed
4085 FAWN CIR,SACRAMENTO,095823,CA,3,2,1289,Residential,Wed May 21 00:00:00 EDT 2008,106250,38.470746,-121.458918,Wed
2930 LA ROSA RD,SACRAMENTO,095815,CA,1,1,871,Residential,Wed May 21 00:00:00 EDT 2008,106852,38.618698,-121.435833,Wed
2113 KIRK WAY,SACRAMENTO,095822,CA,3,1,1020,Residential,Wed May 21 00:00:00 EDT 2008,107502,38.482215,-121.492603,Wed
4533 LOCH HAVEN WAY,SACRAMENTO,095842,CA,2,2,1022,Residential,Wed May 21 00:00:00 EDT 2008,108750,38.672914,-121.35934,Wed
7340 HAMDEN PL,SACRAMENTO,095842,CA,2,2,1134,Condo,Wed May 21 00:00:00 EDT 2008,110700,38.700051,-121.351278,Wed
6715 6TH ST,RIO LINDA,095673,CA,2,1,844,Residential,Wed May 21 00:00:00 EDT 2008,113263,38.689591,-121.452239,Wed
6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,095621,CA,2,1,795,Condo,Wed May 21 00:00:00 EDT 2008,116250,38.679776,-121.314089,Wed
250 PERALTA AVE,SACRAMENTO,095833,CA,2,1,588,Residential,Wed May 21 00:00:00 EDT 2008,120000,38.612099,-121.469095,Wed
113 LEEWILL AVE,RIO LINDA,095673,CA,3,2,1356,Residential,Wed May 21 00:00:00 EDT 2008,121630,38.689999,-121.46322,Wed
6118 STONEHAND AVE,CITRUS HEIGHTS,095621,CA,3,2,1118,Residential,Wed May 21 00:00:00 EDT 2008,122000,38.707851,-121.320707,Wed
4882 BANDALIN WAY,SACRAMENTO,095823,CA,4,2,1329,Residential,Wed May 21 00:00:00 EDT 2008,122682,38.468173,-121.444071,Wed
7511 OAKVALE CT,NORTH HIGHLANDS,095660,CA,4,2,1240,Residential,Wed May 21 00:00:00 EDT 2008,123000,38.702792,-121.38221,Wed
9 PASTURE CT,SACRAMENTO,095834,CA,3,2,1601,Residential,Wed May 21 00:00:00 EDT 2008,124100,38.628631,-121.488097,Wed
3729 BAINBRIDGE DR,NORTH HIGHLANDS,095660,CA,3,2,901,Residential,Wed May 21 00:00:00 EDT 2008,125000,38.701499,-121.37622,Wed
3828 BLACKFOOT WAY,ANTELOPE,095843,CA,3,2,1088,Residential,Wed May 21 00:00:00 EDT 2008,126640,38.70974,-121.37377,Wed
4108 NORTON WAY,SACRAMENTO,095820,CA,3,1,963,Residential,Wed May 21 00:00:00 EDT 2008,127281,38.537526,-121.478315,Wed
1469 JANRICK AVE,SACRAMENTO,095832,CA,3,2,1119,Residential,Wed May 21 00:00:00 EDT 2008,129000,38.476472,-121.501711,Wed
9861 CULP WAY,SACRAMENTO,095827,CA,4,2,1380,Residential,Wed May 21 00:00:00 EDT 2008,131200,38.558423,-121.327948,Wed
7825 CREEK VALLEY CIR,SACRAMENTO,095828,CA,3,2,1248,Residential,Wed May 21 00:00:00 EDT 2008,132000,38.472122,-121.404199,Wed
